SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species;PetalRatio;Taille
7.7;2.6;6.9;2.3;virginica;3.0000000000000004;large
7.7;3.8;6.7;2.2;virginica;3.0454545454545454;large
7.7;2.8;6.7;2.0;virginica;3.35;large
7.6;3.0;6.6;2.1;virginica;3.1428571428571423;large
7.9;3.8;6.4;2.0;virginica;3.2;large
7.3;2.9;6.3;1.8;virginica;3.5;large
7.2;3.6;6.1;2.5;virginica;2.44;large
7.4;2.8;6.1;1.9;virginica;3.2105263157894735;large
7.7;3.0;6.1;2.3;virginica;2.6521739130434785;large
6.3;3.3;6.0;2.5;virginica;2.4;medium
7.2;3.2;6.0;1.8;virginica;3.333333333333333;large
6.8;3.2;5.9;2.3;virginica;2.565217391304348;large
7.1;3.0;5.9;2.1;virginica;2.8095238095238098;large
6.7;2.5;5.8;1.8;virginica;3.222222222222222;large
7.2;3.0;5.8;1.6;virginica;3.6249999999999996;large
6.5;3.0;5.8;2.2;virginica;2.6363636363636362;large
6.9;3.2;5.7;2.3;virginica;2.4782608695652177;large
6.7;3.3;5.7;2.1;virginica;2.7142857142857144;large
6.7;3.3;5.7;2.5;virginica;2.2800000000000002;large
6.1;2.6;5.6;1.348780487804878;virginica;4.0;medium
6.3;3.4;5.6;2.4;virginica;2.3333333333333335;medium
6.4;2.8;5.6;2.1;virginica;2.6666666666666665;medium
6.7;3.1;5.6;2.4;virginica;2.3333333333333335;large
6.4;2.8;5.6;2.2;virginica;2.545454545454545;medium
6.3;2.9;5.6;1.8;virginica;3.1111111111111107;medium
6.4;3.1;5.5;1.8;virginica;3.0555555555555554;medium
6.5;3.0;5.5;1.8;virginica;3.0555555555555554;large
6.8;3.0;5.5;2.1;virginica;2.619047619047619;large
6.2;3.4;5.4;2.3;virginica;2.347826086956522;medium
6.9;3.1;5.4;2.1;virginica;2.5714285714285716;large
6.4;3.2;5.3;2.3;virginica;2.3043478260869565;medium
6.4;2.7;5.3;1.348780487804878;virginica;2.7894736842105265;medium
6.7;3.0;5.2;2.3;virginica;2.2608695652173916;large
6.5;3.0;5.2;2.0;virginica;2.6;large
6.0;2.7;5.1;1.6;versicolor;3.1874999999999996;medium
5.9;3.0;5.1;1.8;virginica;2.833333333333333;medium
6.5;3.2;5.1;2.0;virginica;2.55;large
5.8;2.8;5.1;2.4;virginica;2.125;medium
6.3;2.8;5.1;1.5;virginica;3.4;medium
5.8;2.7;5.1;1.9;virginica;2.6842105263157894;medium
6.9;3.1;5.1;1.348780487804878;virginica;2.217391304347826;large
5.8;2.7;5.1;1.9;virginica;2.6842105263157894;medium
6.0;2.2;5.0;1.5;virginica;3.3333333333333335;medium
6.7;3.0;5.0;1.7;versicolor;2.9411764705882355;large
5.7;2.5;5.0;2.0;virginica;2.5;medium
6.3;2.5;5.0;1.9;virginica;2.6315789473684212;medium
6.3;2.5;4.9;1.5;versicolor;3.266666666666667;medium
6.9;3.1;4.9;1.5;versicolor;3.266666666666667;large
6.1;3.0;4.9;1.8;virginica;2.7222222222222223;medium
6.3;2.7;4.9;1.8;virginica;2.7222222222222223;medium
5.6;2.8;4.9;2.0;virginica;2.45;medium
6.2;2.8;4.8;1.8;virginica;2.6666666666666665;medium
6.8;2.8;4.8;1.4;versicolor;3.428571428571429;large
5.9;3.2;4.8;1.8;versicolor;2.6666666666666665;medium
6.0;3.0;4.8;1.8;virginica;2.6666666666666665;medium
7.0;3.2;4.7;1.348780487804878;versicolor;3.3571428571428577;large
6.3;3.3;4.7;1.6;versicolor;2.9375;medium
6.1;2.8;4.7;1.2;versicolor;3.916666666666667;medium
6.7;3.1;4.7;1.5;versicolor;3.1333333333333333;large
6.1;2.9;4.7;1.4;versicolor;3.3571428571428577;medium
6.6;2.9;4.6;1.3;versicolor;3.538461538461538;large
6.1;3.0;4.6;1.4;versicolor;3.2857142857142856;medium
6.5;2.8;4.6;1.5;versicolor;3.0666666666666664;large
6.0;2.9;4.5;1.5;versicolor;3.0;medium
5.4;3.0;4.5;1.5;versicolor;3.0;medium
5.7;2.8;4.5;1.3;versicolor;3.4615384615384612;medium
6.4;3.2;4.5;1.5;versicolor;3.0;medium
6.0;3.4;4.5;1.6;versicolor;2.8125;medium
5.6;3.0;4.5;1.5;versicolor;3.0;medium
6.2;2.2;4.5;1.5;versicolor;3.0;medium
5.5;2.6;4.4;1.2;versicolor;3.666666666666667;medium
6.3;2.3;4.4;1.3;versicolor;3.3846153846153846;medium
6.6;3.0;4.4;1.4;versicolor;3.1428571428571432;large
6.7;3.1;4.4;1.4;versicolor;3.1428571428571432;large
6.2;2.9;4.3;1.3;versicolor;3.3076923076923075;medium
6.4;2.9;4.3;1.3;versicolor;3.3076923076923075;medium
5.7;2.9;4.2;1.3;versicolor;3.230769230769231;medium
